5, 0.000005
5, 0.000005
7, 0.000007
11, 0.000011
13, 0.000013
15, 0.000015
17, 0.000017
18, 0.000018
21, 0.000021
23, 0.000023
27, 0.000027
27, 0.000027
31, 0.000031
33, 0.000033
35, 0.000035
47, 0.000047
41, 0.000041
43, 0.000043
50, 0.000050
55, 0.000055
52, 0.000052
72, 0.000072
71, 0.000071
62, 0.000062
71, 0.000071
62, 0.000062
62, 0.000062
65, 0.000065
67, 0.000067
69, 0.000069
71, 0.000071
73, 0.000073
75, 0.000075
78, 0.000078
80, 0.000080
83, 0.000083
84, 0.000084
86, 0.000086
90, 0.000090
92, 0.000092
94, 0.000094
96, 0.000096
99, 0.000099
101, 0.000101
103, 0.000103
105, 0.000105
107, 0.000107
109, 0.000109
129, 0.000129
130, 0.000130
134, 0.000134
136, 0.000136
138, 0.000138
152, 0.000152
175, 0.000175
171, 0.000171
143, 0.000143
142, 0.000142
143, 0.000143
146, 0.000146
149, 0.000149
152, 0.000152
143, 0.000143
145, 0.000145
149, 0.000149
153, 0.000153
153, 0.000153
155, 0.000155
158, 0.000158
159, 0.000159
163, 0.000163
164, 0.000164
167, 0.000167
202, 0.000202
193, 0.000193
185, 0.000185
176, 0.000176
178, 0.000178
181, 0.000181
183, 0.000183
184, 0.000184
188, 0.000188
190, 0.000190
193, 0.000193
194, 0.000194
196, 0.000196
198, 0.000198
202, 0.000202
202, 0.000202
214, 0.000214
263, 0.000263
247, 0.000247
214, 0.000214
214, 0.000214
217, 0.000217
219, 0.000219
220, 0.000220
223, 0.000223
227, 0.000227
229, 0.000229
